bill_number,bill_type,congress,full_name_display,bioguide_id,person_id
1,S,117,"Cantwell, Maria Ellen (D-WA-1)",C000127,51160
1,S,117,"Menendez, Robert Jacobsen, Sr. (D-NJ-1)",M000639,51523
1,S,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
1,S,117,"Ossoff, Thomas Jonathan (D-GA-1)",O000174,34364
1,S,117,"Shaheen, Cynthia Jeanne Bowers (D-NH-2)",S001181,66834
2,s,117,"Sanders, Bernard (I-VT)",S000033,51605
4,S,117,"Casey, Robert Patrick, Jr. (D-PA-1)",C001070,51840
19,S,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
27,S,117,"Cornyn, John, III (R-TX-1)",C001056,51170
32,S,117,"Booker, Cory Anthony (D-NJ-2)",B001288,211545
35,S,117,"Burr, Richard Mauze (R-NC-1)",B001135,51870
35,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
35,S,117,"Luján, Ben Ray, Jr. (D-NM-2)",L000570,66871
35,S,117,"Padilla, Alejandro (D-CA-1)",P000145,189610
38,S,117,"Sanders, Bernard (I-VT)",S000033,51605
40,S,117,"Duckworth, Ladda Tammy (D-IL-2)",D000622,198768
41,S,117,"Markey, Edward John (D-MA-2)",M000133,51500
50,S,117,"Booker, Cory Anthony (D-NJ-2)",B001288,211545
51,S,117,"Cantwell, Maria Ellen (D-WA-1)",C000127,51160
51,S,117,"Menendez, Robert Jacobsen, Sr. (D-NJ-1)",M000639,51523
51,S,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
51,S,117,"Ossoff, Thomas Jonathan (D-GA-1)",O000174,34364
51,S,117,"Shaheen, Cynthia Jeanne Bowers (D-NH-2)",S001181,66834
53,S,117,"Luján, Ben Ray, Jr. (D-NM-2)",L000570,66871
53,S,117,"Padilla, Alejandro (D-CA-1)",P000145,189610
61,S,117,"Braun, Michael Kent (R-IN-2)",B001310,242475
61,S,117,"Grassley, Charles Ernest (R-IA-1)",G000386,51187
61,S,117,"Lee, Michael Shumway (R-UT-1)",L000577,151827
65,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
67,S,117,"Padilla, Alejandro (D-CA-1)",P000145,189610
68,S,117,"Scott, Richard Lynn (R-FL-2)",S001217,175586
68,S,117,"Scott, Timothy Eugene (R-SC-1)",S001184,151800
70,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
72,S,117,"Reed, John Francis (D-RI-1)",R000122,51223
76,S,117,"Tuberville, Thomas Hawley (R-AL-1)",T000278,374701
77,S,117,"Moran, Gerald Wesley (R-KS-1)",M000934,51535
77,S,117,"Thune, John Randolph (R-SD)",T000250,51242
79,s,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
79,s,117,"Merkley, Jeffrey Alan (D-OR-1)",M001176,66836
79,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
80,S,117,"Daines, Steven David (R-MT)",D000618,198810
85,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
88,S,117,"Boozman, John Nichols (R-AR-1)",B001236,51287
89,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
91,S,117,"Cornyn, John, III (R-TX-1)",C001056,51170
95,S,117,"Cruz, Rafael Edward (R-TX-2)",C001098,175665
96,S,117,"Hassan, Margaret Coldwell Wood (D-NH-1)",H001076,232351
97,S,117,"Merkley, Jeffrey Alan (D-OR-1)",M001176,66836
98,S,117,"Peters, Gary Charles, Sr. (D-MI-2)",P000595,66862
98,s,117,"Warnock, Raphael Gamaliel (D-GA-2)",W000790,369737
99,S,117,"Inhofe, James Mountain (R-OK-2)",I000024,51195
106,S,117,"Johnson, Ronald Harold (R-WI-1)",J000293,151822
109,S,117,"Thune, John Randolph (R-SD)",T000250,51242
111,s,117,"Grassley, Charles Ernest (R-IA-1)",G000386,51187
117,S,117,"Inhofe, James Mountain (R-OK-2)",I000024,51195
123,S,117,"McConnell, Addison Mitchell, Jr. (R-KY-2)",M000355,51216
123,S,117,"Toomey, Patrick Joseph, Jr. (R-PA-2)",T000461,51835
127,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
128,S,117,"Hassan, Margaret Coldwell Wood (D-NH-1)",H001076,232351
128,S,117,"Kelly, Mark Edward (D-AZ-2)",K000377,163882
130,S,117,"Cortez Masto, Catherine Marie (D-NV-2)",C001113,259552
132,S,117,"Booker, Cory Anthony (D-NJ-2)",B001288,211545
132,S,117,"Sasse, Benjamin Eric (R-NE-1)",S001197,12801
133,S,117,"Capito, Shelley Wellons Moore (R-WV-2)",C001047,51310
136,S,117,"Whitehouse, Sheldon (D-RI-2)",W000802,51844
139,S,117,"Marshall, Roger Wayne (R-KS-2)",M001198,259544
141,S,117,"Smith, Christine Elizabeth Flint (D-MN-1)",S001203,282320
142,S,117,"Cardin, Benjamin Louis (D-MD-1)",C000141,51313
142,S,117,"Collins, Susan Margaret (R-ME-1)",C001035,51168
142,S,117,"Schumer, Charles Ellis (D-NY-2)",S000148,51231
145,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
147,S,117,"Merkley, Jeffrey Alan (D-OR-1)",M001176,66836
151,S,117,"Menendez, Robert Jacobsen, Sr. (D-NJ-1)",M000639,51523
163,S,117,"Wicker, Roger Frederick (R-MS-2)",W000437,51675
171,S,117,"Marshall, Roger Wayne (R-KS-2)",M001198,259544
172,S,117,"Reed, John Francis (D-RI-1)",R000122,51223
175,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
184,S,117,"Kaine, Timothy Michael (D-VA-1)",K000384,175490
186,S,117,"Casey, Robert Patrick, Jr. (D-PA-1)",C001070,51840
189,S,117,"Sinema, Kyrsten Lea (D-AZ-1)",S001191,198919
190,s,117,"Duckworth, Ladda Tammy (D-IL-2)",D000622,198768
190,s,117,"Reed, John Francis (D-RI-1)",R000122,51223
193,S,117,"Grassley, Charles Ernest (R-IA-1)",G000386,51187
198,S,117,"Peters, Gary Charles, Sr. (D-MI-2)",P000595,66862
205,S,117,"Markey, Edward John (D-MA-2)",M000133,51500
205,S,117,"Shaheen, Cynthia Jeanne Bowers (D-NH-2)",S001181,66834
205,S,117,"Tester, Raymond Jon (D-MT)",T000464,51845
1,S,117,"Carper, Thomas Richard (D-DE)",C000174,51161
1,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
